epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9505,0.4048,1.10087,0.88776,0.98916,0.6527,0.65188,0.64798,0.21402,0.71823,0.76581,0.000472042,0.000472042,0.000472042
2,57.9597,0.33558,0.43902,0.85467,0.99484,0.65086,0.65361,0.64382,0.25156,0.40237,0.76903,0.000938986,0.000938986,0.000938986
3,85.558,0.34121,0.40125,0.85702,0.99573,0.65295,0.65346,0.64531,0.24868,0.39033,0.7776,0.0013965,0.0013965,0.0013965
4,113.499,0.32616,0.35611,0.85167,0.99215,0.65111,0.65235,0.64865,0.20551,0.30238,0.77116,0.00138656,0.00138656,0.00138656
5,142.424,0.31864,0.33917,0.8503,0.99258,0.65295,0.65375,0.65123,0.1881,0.29157,0.75725,0.00137241,0.00137241,0.00137241
6,170.688,0.3092,0.2994,0.84883,0.9926,0.65295,0.6563,0.65298,0.19644,0.26197,0.7621,0.00135826,0.00135826,0.00135826
7,198.904,0.28752,0.28316,0.84294,0.99376,0.65249,0.65495,0.65396,0.17227,0.31363,0.75152,0.00134412,0.00134412,0.00134412
8,227.661,0.28696,0.27624,0.84311,0.9952,0.65254,0.66248,0.66112,0.1919,0.46836,0.75878,0.00132997,0.00132997,0.00132997
9,255.89,0.28494,0.27334,0.83966,0.99552,0.65295,0.65513,0.65391,0.18038,0.3855,0.75907,0.00131582,0.00131582,0.00131582
10,284.928,0.27735,0.2663,0.84307,0.99291,0.65295,0.65483,0.65433,0.16505,0.28232,0.75172,0.00130168,0.00130168,0.00130168
11,313.59,0.27771,0.25788,0.84178,0.99298,0.65295,0.65793,0.65784,0.17614,0.23354,0.75762,0.00128753,0.00128753,0.00128753
12,342.251,0.27298,0.24809,0.83559,0.99304,0.65295,0.66601,0.66573,0.16267,0.24509,0.75176,0.00127338,0.00127338,0.00127338
13,370.337,0.27186,0.2489,0.83887,0.99309,0.65268,0.65637,0.65578,0.16909,0.33963,0.75446,0.00125923,0.00125923,0.00125923
14,398.725,0.2745,0.25185,0.84257,0.99266,0.65295,0.66063,0.66057,0.15374,0.22739,0.74974,0.00124509,0.00124509,0.00124509
15,426.844,0.26404,0.2404,0.83925,0.99269,0.64927,0.65659,0.65656,0.15254,0.23861,0.75284,0.00123094,0.00123094,0.00123094
16,454.523,0.26224,0.23688,0.83914,0.99532,0.65295,0.65667,0.65662,0.14836,0.21847,0.74918,0.00121679,0.00121679,0.00121679
17,482.604,0.26525,0.23682,0.83903,0.99217,0.65295,0.65624,0.65581,0.14985,0.21912,0.74889,0.00120265,0.00120265,0.00120265
18,510.531,0.25547,0.22962,0.83779,0.99347,0.65141,0.6568,0.65679,0.14698,0.22355,0.74817,0.0011885,0.0011885,0.0011885
19,539.021,0.26209,0.2331,0.83938,0.99548,0.65295,0.65636,0.65613,0.15263,0.22289,0.74968,0.00117435,0.00117435,0.00117435
20,568.387,0.25321,0.22729,0.83654,0.99557,0.65295,0.65723,0.65719,0.14423,0.22074,0.74765,0.00116021,0.00116021,0.00116021
21,596.974,0.25495,0.22951,0.83624,0.99549,0.65295,0.65711,0.65706,0.13771,0.21504,0.74558,0.00114606,0.00114606,0.00114606
22,624.554,0.24972,0.22413,0.83691,0.99241,0.65295,0.65586,0.65586,0.15273,0.233,0.74774,0.00113191,0.00113191,0.00113191
23,652.431,0.25051,0.22356,0.83866,0.993,0.6525,0.65948,0.65943,0.14707,0.24376,0.74902,0.00111776,0.00111776,0.00111776
24,680.198,0.24564,0.21738,0.83565,0.99553,0.65295,0.65509,0.65508,0.13888,0.24333,0.74522,0.00110362,0.00110362,0.00110362
25,708.555,0.24536,0.21996,0.83479,0.99555,0.65295,0.66153,0.66152,0.15058,0.23265,0.74865,0.00108947,0.00108947,0.00108947
26,736.93,0.24704,0.21059,0.83519,0.99554,0.65295,0.6621,0.6621,0.13925,0.21599,0.7461,0.00107532,0.00107532,0.00107532
27,764.988,0.24469,0.21752,0.83561,0.99617,0.65295,0.65697,0.65694,0.1404,0.30852,0.74502,0.00106118,0.00106118,0.00106118
28,793.202,0.2372,0.20161,0.83121,0.99509,0.65295,0.66913,0.66913,0.1342,0.20679,0.74562,0.00104703,0.00104703,0.00104703
29,821.708,0.23929,0.20607,0.83373,0.99513,0.65295,0.66166,0.66161,0.13348,0.29895,0.74581,0.00103288,0.00103288,0.00103288
30,850.251,0.23538,0.19801,0.8331,0.99539,0.65295,0.65728,0.65704,0.13803,0.20692,0.74521,0.00101873,0.00101873,0.00101873
31,878.585,0.23959,0.20294,0.83318,0.99542,0.65295,0.65725,0.65723,0.13235,0.27328,0.7464,0.00100459,0.00100459,0.00100459
32,906.504,0.23524,0.20231,0.83434,0.99385,0.65295,0.65602,0.65595,0.15051,0.22282,0.75209,0.00099044,0.00099044,0.00099044
33,934.759,0.2349,0.20017,0.83111,0.99348,0.65295,0.65762,0.65752,0.12932,0.2034,0.74316,0.000976293,0.000976293,0.000976293
34,962.911,0.23147,0.19465,0.83146,0.99478,0.65295,0.65735,0.65735,0.13532,0.2092,0.74585,0.000962146,0.000962146,0.000962146
