epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.884,0.47495,1.45109,0.90623,0.79851,0.55438,0.65337,0.64301,0.25599,1.31999,0.77919,0.000467512,0.000467512,0.000467512
2,35.9108,0.37336,0.56085,0.86224,0.99527,0.65625,0.65541,0.64157,0.26201,0.58227,0.77304,0.000934502,0.000934502,0.000934502
3,52.3498,0.36121,0.46712,0.85692,0.99578,0.65579,0.65549,0.63918,0.25029,0.47811,0.77262,0.00139206,0.00139206,0.00139206
4,69.5494,0.35986,0.43358,0.86639,0.99392,0.65629,0.6559,0.64467,0.2512,0.46526,0.77444,0.00138656,0.00138656,0.00138656
