epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5919,0.485,2.094,0.94944,0.99695,0.33066,0.65804,0.63841,0.30182,1.97823,0.7774,0.00032867,0.00032867,0.00032867
2,58.3996,0.256,0.55235,0.84645,0.90683,0.55963,0.65959,0.63263,0.2654,1.37226,0.79199,0.000664981,0.000664981,0.000664981
3,85.3014,0.24474,0.42311,0.84331,0.9414,0.64848,0.65975,0.64984,0.24129,1.06417,0.77588,0.000994501,0.000994501,0.000994501
4,112.1,0.24156,0.38047,0.84221,0.99727,0.6553,0.65943,0.65712,0.21954,0.80695,0.76086,0.00131723,0.00131723,0.00131723
5,139.071,0.24865,0.36108,0.84294,0.99342,0.6553,0.6606,0.64432,0.25685,0.70754,0.77395,0.00137241,0.00137241,0.00137241
6,166.174,0.23959,0.33246,0.84262,0.99708,0.65517,0.66127,0.64746,0.25612,0.40662,0.77163,0.00135826,0.00135826,0.00135826
