epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4652,0.74056,3.31647,1.06057,0.00946,0.69714,0.32656,0.27764,0.32899,3.21237,0.8135,0.00012861,0.00012861,0.00012861
2,49.5555,0.36528,1.49042,0.87546,1,0.30989,0.6405,0.61809,0.27356,2.40075,0.80463,0.000268822,0.000268822,0.000268822
3,69.7371,0.30414,0.61445,0.84266,0.96045,0.35271,0.65554,0.62894,0.29456,1.59006,0.82819,0.000406205,0.000406205,0.000406205
4,88.4758,0.2819,0.51759,0.83396,0.95506,0.54699,0.65444,0.63801,0.26129,1.4416,0.81032,0.000540758,0.000540758,0.000540758
5,107.448,0.27622,0.47782,0.83495,0.97029,0.64475,0.65448,0.6409,0.27137,1.20447,0.81996,0.000672482,0.000672482,0.000672482
6,124.566,0.27184,0.44184,0.83158,0.93821,0.65175,0.65476,0.65049,0.21359,1.11872,0.77425,0.000801376,0.000801376,0.000801376
7,144.374,0.27674,0.42233,0.83434,0.98444,0.6435,0.65612,0.652,0.21926,1.29812,0.79224,0.000927441,0.000927441,0.000927441
8,161.246,0.28595,0.39779,0.83923,0.99625,0.65308,0.65626,0.65374,0.20426,1.1514,0.77441,0.00105068,0.00105068,0.00105068
9,181.174,0.29155,0.39275,0.83642,0.99574,0.65524,0.65535,0.64985,0.22511,0.68929,0.7746,0.00117108,0.00117108,0.00117108
10,198.9,0.28236,0.36928,0.83727,0.99472,0.65569,0.65652,0.65205,0.21908,0.56018,0.77819,0.00128866,0.00128866,0.00128866
11,217.001,0.27993,0.35154,0.83802,0.98102,0.64054,0.65443,0.64372,0.24624,0.6671,0.78278,0.00128753,0.00128753,0.00128753
12,235.983,0.28037,0.32963,0.83487,0.92821,0.64446,0.65512,0.64951,0.23423,0.62,0.77406,0.00127338,0.00127338,0.00127338
13,253.91,0.26794,0.31414,0.83137,0.93813,0.64305,0.65535,0.64664,0.21394,0.58568,0.77525,0.00125923,0.00125923,0.00125923
14,272.737,0.26006,0.29864,0.83135,0.99553,0.65495,0.65327,0.65116,0.1965,0.67429,0.76918,0.00124509,0.00124509,0.00124509
15,289.936,0.26569,0.28581,0.83567,0.99553,0.65259,0.65376,0.6335,0.27136,0.58737,0.82608,0.00123094,0.00123094,0.00123094
16,309.351,0.26239,0.28007,0.83425,0.9958,0.65639,0.65418,0.6511,0.21213,0.65659,0.77088,0.00121679,0.00121679,0.00121679
17,327.249,0.25693,0.26907,0.83284,0.99061,0.65404,0.65325,0.64034,0.201,0.37364,0.77849,0.00120265,0.00120265,0.00120265
18,345.664,0.26296,0.26756,0.83164,0.99616,0.65565,0.65632,0.65334,0.20369,0.35671,0.7672,0.0011885,0.0011885,0.0011885
19,363.767,0.24898,0.25249,0.83005,0.99547,0.65599,0.65392,0.65203,0.1841,0.28297,0.76266,0.00117435,0.00117435,0.00117435
20,381.177,0.2455,0.25073,0.82902,0.9588,0.65331,0.65206,0.65035,0.16867,0.46889,0.75564,0.00116021,0.00116021,0.00116021
21,400.683,0.25633,0.25635,0.82812,0.99629,0.6526,0.65561,0.65305,0.19153,0.4306,0.76291,0.00114606,0.00114606,0.00114606
22,417.911,0.23843,0.23882,0.82919,0.99336,0.65654,0.65407,0.651,0.20121,0.3972,0.77233,0.00113191,0.00113191,0.00113191
23,435.934,0.24436,0.23909,0.82641,0.99504,0.65634,0.65629,0.65392,0.17797,0.31607,0.76772,0.00111776,0.00111776,0.00111776
24,453.922,0.23841,0.21974,0.82568,0.99442,0.65653,0.65525,0.6548,0.16869,0.23221,0.75795,0.00110362,0.00110362,0.00110362
25,471.013,0.23541,0.22001,0.82012,0.99514,0.65633,0.65544,0.65518,0.15589,0.26889,0.75412,0.00108947,0.00108947,0.00108947
26,490.125,0.22465,0.21132,0.82427,0.99514,0.65642,0.65501,0.65458,0.14163,0.30019,0.75212,0.00107532,0.00107532,0.00107532
27,507.872,0.22952,0.20717,0.82432,0.99515,0.65653,0.65438,0.65381,0.17175,0.22903,0.75545,0.00106118,0.00106118,0.00106118
28,525.224,0.22754,0.20587,0.82764,0.98569,0.63113,0.64951,0.64726,0.17397,0.32818,0.76302,0.00104703,0.00104703,0.00104703
29,543.88,0.22638,0.21011,0.82487,0.9951,0.65629,0.65537,0.6551,0.15672,0.26872,0.75272,0.00103288,0.00103288,0.00103288
30,561.052,0.23187,0.212,0.82538,0.995,0.65629,0.65417,0.65278,0.15149,0.28224,0.75599,0.00101873,0.00101873,0.00101873
31,580.796,0.23422,0.21222,0.82949,0.94481,0.64101,0.64671,0.6302,0.1747,0.41123,0.76664,0.00100459,0.00100459,0.00100459
32,598.146,0.23629,0.21267,0.83065,0.99556,0.65627,0.65619,0.64631,0.16457,0.28992,0.75923,0.00099044,0.00099044,0.00099044
33,616.135,0.23301,0.20781,0.82821,0.99553,0.65628,0.65629,0.64895,0.1819,0.30002,0.76164,0.000976293,0.000976293,0.000976293
34,634.492,0.22632,0.19946,0.82886,0.9907,0.65653,0.65367,0.65136,0.18508,0.26586,0.75969,0.000962146,0.000962146,0.000962146
35,651.257,0.22533,0.20089,0.82212,0.99476,0.65617,0.65494,0.6541,0.16268,0.22107,0.75298,0.000947999,0.000947999,0.000947999
36,671.26,0.22294,0.20226,0.82347,0.99493,0.65629,0.65568,0.65532,0.15276,0.2161,0.75111,0.000933851,0.000933851,0.000933851
37,689.407,0.22248,0.19939,0.82529,0.99172,0.65629,0.65519,0.65475,0.15255,0.29571,0.74914,0.000919704,0.000919704,0.000919704
38,706.887,0.22029,0.19274,0.82438,0.99136,0.65579,0.65524,0.65494,0.1452,0.28542,0.74985,0.000905557,0.000905557,0.000905557
39,725.211,0.21531,0.18977,0.82013,0.9937,0.65628,0.65447,0.65414,0.16088,0.38083,0.75403,0.00089141,0.00089141,0.00089141
40,742.786,0.21964,0.19099,0.82566,0.99544,0.65631,0.65378,0.65349,0.14491,0.28334,0.75031,0.000877263,0.000877263,0.000877263
41,761.987,0.21734,0.18858,0.82028,0.99534,0.65629,0.65508,0.65477,0.14205,0.41793,0.74916,0.000863116,0.000863116,0.000863116
42,779.411,0.21493,0.18276,0.82284,0.99518,0.65632,0.65313,0.65264,0.14686,0.3738,0.74731,0.000848969,0.000848969,0.000848969
43,797.921,0.21465,0.18646,0.8233,0.66157,0.65629,0.65385,0.65322,0.14949,0.22746,0.75232,0.000834822,0.000834822,0.000834822
44,816.295,0.21818,0.1881,0.81935,0.66191,0.6565,0.6547,0.6546,0.14354,0.20366,0.74841,0.000820675,0.000820675,0.000820675
45,832.258,0.21806,0.18185,0.82334,0.66155,0.65632,0.65399,0.65308,0.13493,0.21666,0.74914,0.000806528,0.000806528,0.000806528
46,852.097,0.21543,0.18362,0.82288,0.66133,0.6565,0.65343,0.65305,0.13144,0.19209,0.74704,0.00079238,0.00079238,0.00079238
47,869.581,0.20233,0.17394,0.81689,0.66184,0.65651,0.65577,0.65544,0.14671,0.20212,0.75321,0.000778233,0.000778233,0.000778233
48,887.049,0.20371,0.17396,0.82087,0.99576,0.65653,0.65664,0.65637,0.13229,0.19307,0.74528,0.000764086,0.000764086,0.000764086
49,905.959,0.21285,0.17835,0.82095,0.99523,0.65653,0.65432,0.65396,0.13566,0.19227,0.74917,0.000749939,0.000749939,0.000749939
50,923.786,0.20671,0.17411,0.82387,0.66238,0.65586,0.6565,0.65624,0.1313,0.19448,0.74707,0.000735792,0.000735792,0.000735792
51,943.429,0.2016,0.17124,0.82048,0.66166,0.65678,0.65605,0.6557,0.12911,0.18251,0.74398,0.000721645,0.000721645,0.000721645
52,961.349,0.20092,0.17363,0.81902,0.99546,0.65629,0.65624,0.65597,0.12887,0.18119,0.74326,0.000707498,0.000707498,0.000707498
53,979.746,0.20677,0.17272,0.8208,0.66186,0.65629,0.65401,0.65346,0.11875,0.17944,0.74333,0.000693351,0.000693351,0.000693351
54,998.198,0.20474,0.17257,0.82017,0.66191,0.65636,0.65757,0.65723,0.12751,0.1923,0.74734,0.000679204,0.000679204,0.000679204
55,1015.8,0.19575,0.16874,0.81986,0.66048,0.65631,0.6557,0.65532,0.12869,0.18597,0.74546,0.000665057,0.000665057,0.000665057
56,1035.1,0.19949,0.16447,0.81839,0.66186,0.65645,0.65633,0.65557,0.12859,0.18435,0.74663,0.000650909,0.000650909,0.000650909
57,1052.56,0.19984,0.1653,0.81667,0.66136,0.65653,0.65619,0.65598,0.12177,0.18094,0.74531,0.000636762,0.000636762,0.000636762
58,1072.5,0.19282,0.16214,0.81829,0.66165,0.65638,0.65623,0.65599,0.12416,0.18516,0.74483,0.000622615,0.000622615,0.000622615
59,1089.89,0.19751,0.16424,0.8197,0.6619,0.65629,0.65596,0.65527,0.11833,0.17939,0.74316,0.000608468,0.000608468,0.000608468
60,1108.53,0.19767,0.1633,0.81784,0.66141,0.65629,0.65631,0.6561,0.11634,0.19418,0.74342,0.000594321,0.000594321,0.000594321
61,1127.71,0.19108,0.1567,0.81482,0.66137,0.65629,0.65566,0.65543,0.12197,0.18276,0.74457,0.000580174,0.000580174,0.000580174
62,1145.41,0.19548,0.15676,0.815,0.66191,0.65629,0.65693,0.65661,0.11141,0.17354,0.74163,0.000566027,0.000566027,0.000566027
63,1164.7,0.19177,0.15513,0.81591,0.66041,0.65629,0.6551,0.65447,0.11448,0.17754,0.74266,0.00055188,0.00055188,0.00055188
64,1181.5,0.18723,0.15237,0.81787,0.66143,0.65629,0.65409,0.6538,0.11159,0.17151,0.74122,0.000537733,0.000537733,0.000537733
65,1202.14,0.19565,0.15827,0.81892,0.66286,0.65405,0.65418,0.65382,0.13421,0.26772,0.74933,0.000523586,0.000523586,0.000523586
66,1220.32,0.19841,0.16087,0.82234,0.9939,0.65602,0.65365,0.65346,0.11913,0.20088,0.74476,0.000509438,0.000509438,0.000509438
67,1240.89,0.19168,0.15547,0.81955,0.66214,0.65636,0.65423,0.65418,0.12229,0.18703,0.74474,0.000495291,0.000495291,0.000495291
68,1259.93,0.18892,0.15287,0.81894,0.99455,0.65236,0.65519,0.65423,0.12799,0.22582,0.75197,0.000481144,0.000481144,0.000481144
69,1278.71,0.1912,0.15374,0.81177,0.66173,0.65633,0.65626,0.65622,0.11105,0.17349,0.74244,0.000466997,0.000466997,0.000466997
70,1298.27,0.18867,0.15702,0.81773,0.66134,0.65651,0.65398,0.65397,0.1155,0.17012,0.74487,0.00045285,0.00045285,0.00045285
71,1316.8,0.19036,0.15144,0.81693,0.66139,0.65629,0.65442,0.65424,0.11808,0.17502,0.74287,0.000438703,0.000438703,0.000438703
72,1335.83,0.18687,0.14952,0.81796,0.99462,0.65649,0.65477,0.65476,0.12828,0.18813,0.74479,0.000424556,0.000424556,0.000424556
73,1354.1,0.18794,0.14987,0.81421,0.99469,0.65648,0.65502,0.65468,0.1174,0.17435,0.74166,0.000410409,0.000410409,0.000410409
74,1372.83,0.19084,0.15286,0.81532,0.66176,0.65642,0.65447,0.65427,0.10624,0.15928,0.74035,0.000396262,0.000396262,0.000396262
75,1391.78,0.18187,0.14599,0.8141,0.66141,0.65653,0.65647,0.65626,0.1091,0.15946,0.74044,0.000382115,0.000382115,0.000382115
76,1411.17,0.18144,0.14668,0.81882,0.66141,0.65629,0.65623,0.65604,0.10262,0.15835,0.73946,0.000367967,0.000367967,0.000367967
77,1428.91,0.18161,0.14615,0.81769,0.66163,0.65629,0.65827,0.65825,0.09943,0.15629,0.73925,0.00035382,0.00035382,0.00035382
78,1447.18,0.17667,0.14047,0.81746,0.66184,0.65629,0.65853,0.65851,0.10468,0.16431,0.73994,0.000339673,0.000339673,0.000339673
79,1465.35,0.17612,0.13966,0.8143,0.66191,0.65629,0.65691,0.65651,0.10049,0.15546,0.73907,0.000325526,0.000325526,0.000325526
80,1485.63,0.18057,0.14045,0.81441,0.66191,0.65629,0.65684,0.65661,0.10313,0.16034,0.73928,0.000311379,0.000311379,0.000311379
81,1504.04,0.17884,0.14034,0.81473,0.66182,0.65633,0.65832,0.65812,0.10023,0.16369,0.7392,0.000297232,0.000297232,0.000297232
82,1522.48,0.17732,0.13778,0.81795,0.66195,0.65632,0.65886,0.65883,0.10443,0.16083,0.73964,0.000283085,0.000283085,0.000283085
83,1541.92,0.17786,0.13853,0.81621,0.66143,0.65633,0.65918,0.65908,0.10403,0.15719,0.73994,0.000268938,0.000268938,0.000268938
84,1559.41,0.17478,0.13431,0.81376,0.66135,0.65651,0.66005,0.65978,0.09959,0.15737,0.73898,0.000254791,0.000254791,0.000254791
85,1579.35,0.17437,0.13582,0.81786,0.99528,0.65631,0.65874,0.65868,0.10075,0.15924,0.73872,0.000240644,0.000240644,0.000240644
86,1597.39,0.17244,0.13904,0.81075,0.99516,0.65629,0.65766,0.65761,0.09783,0.1638,0.73842,0.000226497,0.000226497,0.000226497
87,1617.56,0.17168,0.13329,0.81457,0.66145,0.65631,0.65911,0.65906,0.10161,0.16223,0.74015,0.000212349,0.000212349,0.000212349
88,1635.51,0.16763,0.13209,0.81464,0.66156,0.65629,0.66023,0.66006,0.09755,0.15449,0.73821,0.000198202,0.000198202,0.000198202
89,1655.23,0.17134,0.13421,0.81664,0.66144,0.6563,0.66065,0.66061,0.09765,0.15395,0.73843,0.000184055,0.000184055,0.000184055
90,1673.34,0.1767,0.1345,0.81539,0.9948,0.65633,0.65971,0.65951,0.10041,0.15548,0.73924,0.000169908,0.000169908,0.000169908
91,1700.19,0.11586,0.12682,0.77763,0.9952,0.6563,0.65642,0.65632,0.10569,0.15307,0.74029,0.000155761,0.000155761,0.000155761
92,1718.75,0.1083,0.10182,0.77833,0.99526,0.6563,0.65641,0.65622,0.10181,0.15097,0.73887,0.000141614,0.000141614,0.000141614
93,1736.22,0.10958,0.10251,0.77206,0.99523,0.65629,0.65639,0.65616,0.10057,0.15154,0.73913,0.000127467,0.000127467,0.000127467
94,1752.8,0.10635,0.09946,0.77809,0.99508,0.6565,0.65633,0.65589,0.09778,0.15031,0.73834,0.00011332,0.00011332,0.00011332
95,1769.29,0.10625,0.09742,0.77325,0.99517,0.65649,0.65664,0.65603,0.10023,0.15429,0.73819,9.91726e-05,9.91726e-05,9.91726e-05
96,1786.97,0.1036,0.09376,0.78054,0.99522,0.65649,0.6562,0.65545,0.09378,0.1497,0.7371,8.50255e-05,8.50255e-05,8.50255e-05
97,1803.86,0.09982,0.0912,0.77635,0.9947,0.65651,0.65791,0.6574,0.09417,0.14732,0.73743,7.08784e-05,7.08784e-05,7.08784e-05
98,1820.17,0.09797,0.08912,0.77428,0.99471,0.65653,0.65886,0.65821,0.09022,0.14613,0.73664,5.67313e-05,5.67313e-05,5.67313e-05
